tech,supply_chain,sub_sector,hs6,essential
Electric Vehicles,Midstream,Charging Infrastructure,850440,TRUE
Electric Vehicles,Midstream,Charging Infrastructure,850490,TRUE
Electric Vehicles,Midstream,Charging Infrastructure,853669,TRUE
Electric Vehicles,Midstream,Charging Infrastructure,853690,TRUE
Electric Vehicles,Midstream,Charging Infrastructure,853710,TRUE
Electric Vehicles,Midstream,Charging Infrastructure,853720,FALSE
Electric Vehicles,Midstream,Charging Infrastructure,854442,TRUE
Electric Vehicles,Midstream,Charging Infrastructure,854449,TRUE
Electric Vehicles,Midstream,Charging Infrastructure,854460,TRUE
Electric Vehicles,Midstream,Electric Drive Units & Motors,850110,FALSE
Electric Vehicles,Midstream,Electric Drive Units & Motors,850120,FALSE
Electric Vehicles,Midstream,Electric Drive Units & Motors,850131,TRUE
Electric Vehicles,Midstream,Electric Drive Units & Motors,850132,TRUE
Electric Vehicles,Midstream,Electric Drive Units & Motors,850133,TRUE
Electric Vehicles,Midstream,Electric Drive Units & Motors,850134,TRUE
Electric Vehicles,Midstream,Electric Drive Units & Motors,850140,FALSE
Electric Vehicles,Midstream,Electric Drive Units & Motors,850151,TRUE
Electric Vehicles,Midstream,Electric Drive Units & Motors,850152,TRUE
Electric Vehicles,Midstream,Electric Drive Units & Motors,850153,TRUE
Electric Vehicles,Midstream,Electric Vehicle Assembly,870124,TRUE
Electric Vehicles,Midstream,Electric Vehicle Assembly,870240,TRUE
Electric Vehicles,Midstream,Electric Vehicle Assembly,870340,TRUE
Electric Vehicles,Midstream,Electric Vehicle Assembly,870350,TRUE
Electric Vehicles,Midstream,Electric Vehicle Assembly,870360,TRUE
Electric Vehicles,Midstream,Electric Vehicle Assembly,870370,TRUE
Electric Vehicles,Midstream,Electric Vehicle Assembly,870380,TRUE
Electric Vehicles,Midstream,Electric Vehicle Assembly,870460,TRUE
Electric Vehicles,Midstream,Electric Vehicle Assembly,870490,TRUE
Electric Vehicles,Midstream,Electric Vehicle Assembly,871160,TRUE
Electric Vehicles,Midstream,Motor & Generator Parts,850300,TRUE
Electric Vehicles,Midstream,Permanent Magnets & Magnet Parts,850511,TRUE
Electric Vehicles,Midstream,Permanent Magnets & Magnet Parts,850519,TRUE
Electric Vehicles,Midstream,Permanent Magnets & Magnet Parts,850590,FALSE
Electric Vehicles,Midstream,Rare Earth Separation & Compounds,280530,TRUE
Electric Vehicles,Midstream,Rare Earth Separation & Compounds,284690,TRUE
Electric Vehicles,Midstream,Vehicle Batteries & Packs,850760,TRUE
Electric Vehicles,Midstream,Vehicle Batteries & Packs,850790,TRUE
Electric Vehicles,Midstream,Vehicle Wiring Harnesses,854430,TRUE
Nuclear,Midstream,Nuclear Fuel Cycle,284410,TRUE
Nuclear,Midstream,Nuclear Fuel Cycle,284410,FALSE
Nuclear,Midstream,Nuclear Fuel Cycle,284420,TRUE
Nuclear,Midstream,Nuclear Fuel Cycle,284420,FALSE
Nuclear,Midstream,Nuclear Fuel Cycle,284450,TRUE
Nuclear,Midstream,Reactor Components,840110,TRUE
Nuclear,Midstream,Reactor Components,840120,TRUE
Nuclear,Midstream,Reactor Components,840130,TRUE
Nuclear,Midstream,Reactor Components,840140,TRUE
Nuclear,Midstream,Steam Cycle & Balance of Plant,840211,TRUE
Nuclear,Midstream,Steam Cycle & Balance of Plant,840212,TRUE
Nuclear,Midstream,Steam Cycle & Balance of Plant,840219,TRUE
Nuclear,Midstream,Steam Cycle & Balance of Plant,840220,TRUE
Nuclear,Midstream,Steam Cycle & Balance of Plant,840290,TRUE
Nuclear,Midstream,Steam Cycle & Balance of Plant,840410,TRUE
Nuclear,Midstream,Steam Cycle & Balance of Plant,840420,TRUE
Nuclear,Midstream,Steam Cycle & Balance of Plant,840490,TRUE
Nuclear,Midstream,Steam Cycle & Balance of Plant,840681,TRUE
Nuclear,Midstream,Steam Cycle & Balance of Plant,840682,TRUE
