Technology,Value Chain,Sub.Sector,HS6
Batteries,Midstream,Cell manufacturing,850760
Batteries,Midstream,Module assembly,850780
Batteries,Midstream,Pack + BMS,850790
Batteries,Upstream,Battery Inputs: Aluminum,281820
Batteries,Upstream,Battery Inputs: Aluminum,283322
Batteries,Upstream,Battery Inputs: Aluminum,760711
Batteries,Upstream,Battery Inputs: Aluminum,760719
Batteries,Upstream,Battery Inputs: Cobalt,260500
Batteries,Upstream,Battery Inputs: Cobalt,282200
Batteries,Upstream,Battery Inputs: Cobalt,283329
Batteries,Upstream,Battery Inputs: Cobalt,810520
Batteries,Upstream,Battery Inputs: Cobalt,810530
Batteries,Upstream,Battery Inputs: Copper,741021
Batteries,Upstream,Battery Inputs: Esters,292090
Batteries,Upstream,Battery Inputs: Fluoropolymers,390469
Batteries,Upstream,Battery Inputs: Graphite,250410
Batteries,Upstream,Battery Inputs: Graphite,280300
Batteries,Upstream,Battery Inputs: Graphite,380110
Batteries,Upstream,Battery Inputs: Graphite,380190
Batteries,Upstream,Battery Inputs: Inorganic Mixtures,382499
Batteries,Upstream,Battery Inputs: Iron-Chloride,282739
Batteries,Upstream,Battery Inputs: Lithium,253090
Batteries,Upstream,Battery Inputs: Lithium,280519
Batteries,Upstream,Battery Inputs: Lithium,282520
Batteries,Upstream,Battery Inputs: Lithium,283691
Batteries,Upstream,Battery Inputs: Manganese,260200
Batteries,Upstream,Battery Inputs: Manganese,282010
Batteries,Upstream,Battery Inputs: Nickel,260400
Batteries,Upstream,Battery Inputs: Nickel,282540
Batteries,Upstream,Battery Inputs: Nickel,283324
Batteries,Upstream,Battery Inputs: Nickel,750120
Batteries,Upstream,Battery Inputs: Nickel,750210
Batteries,Upstream,Battery Inputs: Nickel,750400
Batteries,Upstream,Battery Inputs: Polyethylene,390110
Batteries,Upstream,Battery Inputs: Polyethylene,390120
Batteries,Upstream,Battery Inputs: Polypropylene,390210
Batteries,Upstream,Battery Inputs: Silicon,280461
Batteries,Upstream,Battery Inputs: Vanadium,261590
Batteries,Upstream,Battery Inputs: Vanadium,262040
Batteries,Upstream,Battery Inputs: Vanadium,262099
Batteries,Upstream,Battery Inputs: Vanadium,282530
Batteries,Upstream,Battery Inputs: Zinc,260800
Batteries,Upstream,Battery Inputs: Zinc,262019
Batteries,Upstream,Battery Inputs: Zinc,281700
Coal,Midstream,Ash handling,840290
Coal,Midstream,Ash handling,840410
Coal,Midstream,Ash handling,840420
Coal,Midstream,Ash handling,840490
Coal,Midstream,Ash handling,840510
Coal,Midstream,Ash handling,840590
Coal,Midstream,Ash handling,840681
Coal,Midstream,Ash handling,840682
Coal,Midstream,Ash handling,840690
Coal,Midstream,Ash handling,841111
Coal,Midstream,Ash handling,841112
Coal,Midstream,Ash handling,841181
Coal,Midstream,Ash handling,841182
Coal,Midstream,Ash handling,841191
Coal,Midstream,Ash handling,841199
Coal,Midstream,Boilers & burners,840211
Coal,Midstream,Boilers & burners,840212
Coal,Midstream,Boilers & burners,840219
Coal,Midstream,Boilers & burners,840220
Coal,Midstream,Boilers & burners,840310
Coal,Midstream,Boilers & burners,840390
Coal,Midstream,Coal,270111
Coal,Midstream,Coal,270112
Coal,Midstream,Coal,270119
Coal,Midstream,Coal,270120
Coal,Midstream,Coke and Semicoke,270400
Coal,Midstream,Lignite,270210
Coal,Midstream,Lignite,270220
Coal,Upstream,Fuels & storage,270111
Coal,Upstream,Fuels & storage,270112
Coal,Upstream,Fuels & storage,270119
Coal,Upstream,Fuels & storage,270120
Coal,Upstream,Fuels & storage,270210
Coal,Upstream,Fuels & storage,270220
Coal,Upstream,Fuels & storage,270400
Electric Grid,Midstream,Arresters,853540
Electric Grid,Midstream,Cables & accessories,281290
Electric Grid,Midstream,Cables & accessories,440311
Electric Grid,Midstream,Cables & accessories,440312
Electric Grid,Midstream,Cables & accessories,440321
Electric Grid,Midstream,Cables & accessories,440323
Electric Grid,Midstream,Cables & accessories,440324
Electric Grid,Midstream,Cables & accessories,440325
Electric Grid,Midstream,Cables & accessories,681510
Electric Grid,Midstream,Cables & accessories,731210
Electric Grid,Midstream,Cables & accessories,740811
Electric Grid,Midstream,Cables & accessories,740819
Electric Grid,Midstream,Cables & accessories,741300
Electric Grid,Midstream,Cables & accessories,761410
Electric Grid,Midstream,Cables & accessories,761490
Electric Grid,Midstream,Cables & accessories,853210
Electric Grid,Midstream,Cables & accessories,854460
Electric Grid,Midstream,Cables & accessories,854610
Electric Grid,Midstream,Cables & accessories,854620
Electric Grid,Midstream,Cables & accessories,902830
Electric Grid,Midstream,Cables & accessories,902890
Electric Grid,Midstream,"Capacitors, Fuses",853510
Electric Grid,Midstream,Circuit Breakers,853521
Electric Grid,Midstream,Circuit Breakers,853529
Electric Grid,Midstream,Connector,853590
Electric Grid,Midstream,Controls,853720
,,,271600
,,,271012
,,,271019
Electric Grid,Midstream,Switchgear,853530
Electric Grid,Midstream,Transformer Parts,850490
Electric Grid,Midstream,Transformers,850421
Electric Grid,Midstream,Transformers,850422
Electric Grid,Midstream,Transformers,850423
Electric Grid,Midstream,Transformers,850432
Electric Grid,Midstream,Transformers,850433
Electric Grid,Midstream,Transformers,850434
Electric Vehicles,Midstream,Final vehicle assembly,380110
Electric Vehicles,Midstream,Final vehicle assembly,380190
Electric Vehicles,Midstream,Final vehicle assembly,392010
Electric Vehicles,Midstream,Final vehicle assembly,392020
Electric Vehicles,Midstream,Final vehicle assembly,750110
Electric Vehicles,Midstream,Final vehicle assembly,750120
Electric Vehicles,Midstream,Final vehicle assembly,810520
Electric Vehicles,Midstream,Final vehicle assembly,850760
Electric Vehicles,Midstream,Final vehicle assembly,850790
Electric Vehicles,Midstream,Final vehicle assembly,870124
Electric Vehicles,Midstream,Final vehicle assembly,870240
Electric Vehicles,Midstream,Final vehicle assembly,870340
Electric Vehicles,Midstream,Final vehicle assembly,870350
Electric Vehicles,Midstream,Final vehicle assembly,870360
Electric Vehicles,Midstream,Final vehicle assembly,870370
Electric Vehicles,Midstream,Final vehicle assembly,870380
Electric Vehicles,Midstream,Final vehicle assembly,870460
Electric Vehicles,Midstream,Final vehicle assembly,870490
Electric Vehicles,Midstream,Final vehicle assembly,871160
Electric Vehicles,Upstream,Battery materials (cathode/anode),260200
Electric Vehicles,Upstream,Battery materials (cathode/anode),260300
Electric Vehicles,Upstream,Battery materials (cathode/anode),260400
Electric Vehicles,Upstream,Battery materials (cathode/anode),260500
Electric Vehicles,Upstream,Battery materials (cathode/anode),260600
Electric Vehicles,Upstream,Battery materials (cathode/anode),280519
Electric Vehicles,Upstream,Battery materials (cathode/anode),282010
Electric Vehicles,Upstream,Battery materials (cathode/anode),282090
Electric Vehicles,Upstream,Battery materials (cathode/anode),282200
Electric Vehicles,Upstream,Battery materials (cathode/anode),282520
Electric Vehicles,Upstream,Battery materials (cathode/anode),282540
Electric Vehicles,Upstream,Battery materials (cathode/anode),282690
Electric Vehicles,Upstream,Battery materials (cathode/anode),283324
Electric Vehicles,Upstream,Battery materials (cathode/anode),283329
Electric Vehicles,Upstream,Battery materials (cathode/anode),283529
Electric Vehicles,Upstream,Battery materials (cathode/anode),283691
Electric Vehicles,Upstream,Battery materials (cathode/anode),283699
Electric Vehicles,Upstream,Battery materials (cathode/anode),284290
Electric Vehicles,Upstream,Battery materials (cathode/anode),285390
Gas,Midstream,Butadiene,271114
Gas,Midstream,Butane,271113
Gas,Midstream,Butane,271129
Gas,Midstream,Ethane,271119
Gas,Midstream,LNG/LPG equipment,731100
Gas,Midstream,LNG/LPG equipment,820713
Gas,Midstream,LNG/LPG equipment,820719
Gas,Midstream,LNG/LPG equipment,840211
Gas,Midstream,LNG/LPG equipment,840212
Gas,Midstream,LNG/LPG equipment,840219
Gas,Midstream,LNG/LPG equipment,840220
Gas,Midstream,LNG/LPG equipment,840290
Gas,Midstream,LNG/LPG equipment,840310
Gas,Midstream,LNG/LPG equipment,840390
Gas,Midstream,LNG/LPG equipment,840410
Gas,Midstream,LNG/LPG equipment,840420
Gas,Midstream,LNG/LPG equipment,840490
Gas,Midstream,LNG/LPG equipment,840510
Gas,Midstream,LNG/LPG equipment,840590
Gas,Midstream,LNG/LPG equipment,840681
Gas,Midstream,LNG/LPG equipment,840682
Gas,Midstream,LNG/LPG equipment,840690
Gas,Midstream,LNG/LPG equipment,841111
Gas,Midstream,LNG/LPG equipment,841112
Gas,Midstream,LNG/LPG equipment,841181
Gas,Midstream,LNG/LPG equipment,841182
Gas,Midstream,LNG/LPG equipment,841191
Gas,Midstream,LNG/LPG equipment,841199
Gas,Midstream,LNG/LPG equipment,841350
Gas,Midstream,LNG/LPG equipment,841360
Gas,Midstream,LNG/LPG equipment,841382
