"tech","supply_chain","n_countries","rho","n_moved_gt3","max_move","step","from","to"
"Batteries","Midstream",74,0.999940762680489,0,1,"Task 1 keywords","v0","v1"
"Batteries","Upstream",59,1,0,0,"Task 1 keywords","v0","v1"
"Coal","Midstream",72,0.999967843591228,0,1,"Task 1 keywords","v0","v1"
"Coal","Upstream",69,0.998428936792108,1,7,"Task 1 keywords","v0","v1"
"Cross-cutting","Cross-cutting",0,NA,NA,NA,"Task 1 keywords","v0","v1"
"Electric Grid","Midstream",76,0.999945317840055,0,1,"Task 1 keywords","v0","v1"
"Electric Grid","Upstream",73,0.99956805454854,0,3,"Task 1 keywords","v0","v1"
"Electric Vehicles","Midstream",76,0.999917976760082,0,1,"Task 1 keywords","v0","v1"
"Electric Vehicles","Upstream",59,1,0,0,"Task 1 keywords","v0","v1"
"Gas","Midstream",74,0.999763050721955,0,2,"Task 1 keywords","v0","v1"
"Gas","Upstream",71,0.999496981891348,0,3,"Task 1 keywords","v0","v1"
"Nuclear","Midstream",72,1,0,0,"Task 1 keywords","v0","v1"
"Nuclear","Upstream",59,1,0,0,"Task 1 keywords","v0","v1"
"Oil","Midstream",74,0.998992965568308,1,4,"Task 1 keywords","v0","v1"
"Oil","Upstream",72,0.998938838510515,2,4,"Task 1 keywords","v0","v1"
"Semiconductors","Midstream",73,0.998117980994693,2,6,"Task 1 keywords","v0","v1"
"Semiconductors","Upstream",59,1,0,0,"Task 1 keywords","v0","v1"
"Solar","Midstream",76,0.999371155160629,1,6,"Task 1 keywords","v0","v1"
"Solar","Upstream",59,1,0,0,"Task 1 keywords","v0","v1"
"Wind","Midstream",75,0.999630156472262,1,4,"Task 1 keywords","v0","v1"
"Wind","Upstream",59,1,0,0,"Task 1 keywords","v0","v1"
"Batteries","Midstream",74,0.998311736393928,2,6,"Task 2 confidence","v1","v2"
"Batteries","Upstream",59,1,0,0,"Task 2 confidence","v1","v2"
"Coal","Midstream",72,0.996398482217506,2,11,"Task 2 confidence","v1","v2"
"Coal","Upstream",69,0.944830105955426,23,21,"Task 2 confidence","v1","v2"
"Cross-cutting","Cross-cutting",0,NA,NA,NA,"Task 2 confidence","v1","v2"
"Electric Grid","Midstream",76,0.995707450444293,4,11,"Task 2 confidence","v1","v2"
"Electric Grid","Upstream",73,0.997500887030838,3,9,"Task 2 confidence","v1","v2"
"Electric Vehicles","Midstream",76,0.995051264524949,6,9,"Task 2 confidence","v1","v2"
"Electric Vehicles","Upstream",59,1,0,0,"Task 2 confidence","v1","v2"
"Gas","Midstream",74,0.998785634950018,0,3,"Task 2 confidence","v1","v2"
"Gas","Upstream",71,0.995774647887324,6,6,"Task 2 confidence","v1","v2"
"Nuclear","Midstream",72,0.991028361952537,4,18,"Task 2 confidence","v1","v2"
"Nuclear","Upstream",59,1,0,0,"Task 2 confidence","v1","v2"
"Oil","Midstream",74,0.992239911144021,5,16,"Task 2 confidence","v1","v2"
"Oil","Upstream",72,0.993311466975368,7,10,"Task 2 confidence","v1","v2"
"Semiconductors","Midstream",73,0.997223250647908,3,9,"Task 2 confidence","v1","v2"
