"tech","supply_chain","n_countries","rho_legacy_none","n_rank_moved_gt3_none","share_rank_moved_none","rho_legacy_filter","n_rank_moved_gt3_filter","share_rank_moved_filter","rho_legacy_downweight","n_rank_moved_gt3_downweight","share_rank_moved_downweight"
"Coal","Upstream",69,0.944830105955426,23,0.333333333333333,0.994490434150346,11,0.159420289855072,0.985495067592254,8,0.115942028985507
"Nuclear","Midstream",72,0.991028361952537,4,0.0555555555555556,0.994115188474261,1,0.0138888888888889,0.993954595150814,1,0.0138888888888889
"Oil","Midstream",74,0.992239911144021,5,0.0675675675675676,0.995586819696409,2,0.027027027027027,0.994194742687893,2,0.027027027027027
"Oil","Upstream",72,0.993311466975368,7,0.0972222222222222,0.99787767702103,2,0.0277777777777778,0.996141230947328,3,0.0416666666666667
"Electric Vehicles","Midstream",76,0.995051264524949,6,0.0789473684210526,0.996117566643882,4,0.0526315789473684,0.995707450444293,5,0.0657894736842105
"Electric Grid","Midstream",76,0.995707450444293,4,0.0526315789473684,0.996527682843472,2,0.0263157894736842,0.996555023923445,2,0.0263157894736842
"Gas","Upstream",71,0.995774647887324,6,0.0845070422535211,0.997954324985195,2,0.028169014084507,0.997518443997317,3,0.0422535211267606
"Coal","Midstream",72,0.996398482217506,2,0.0277777777777778,0.999228221888488,0,0,0.999356871824555,0,0
"Semiconductors","Midstream",73,0.997223250647908,3,0.0410958904109589,0.996937838930672,3,0.0410958904109589,0.997068986795014,4,0.0547945205479452
"Solar","Midstream",76,0.997238550922761,3,0.0394736842105263,0.997730690362269,4,0.0526315789473684,0.997785372522215,3,0.0394736842105263
"Electric Grid","Upstream",73,0.997500887030838,3,0.0410958904109589,0.998750150093279,6,0.0821917808219178,0.998981842864415,0,0
"Wind","Midstream",75,0.997866287339972,4,0.0533333333333333,0.998805120910384,1,0.0133333333333333,0.998577524893314,1,0.0133333333333333
"Batteries","Midstream",74,0.998311736393928,2,0.027027027027027,0.998459829692706,1,0.0135135135135135,0.998430211032951,1,0.0135135135135135
"Gas","Midstream",74,0.998785634950018,0,0,0.999200296186597,0,0,0.999141058867086,0,0
"Batteries","Upstream",59,1,0,0,NA,55,0.932203389830508,1,0,0
"Electric Vehicles","Upstream",59,1,0,0,NA,55,0.932203389830508,1,0,0
"Nuclear","Upstream",59,1,0,0,NA,55,0.932203389830508,1,0,0
"Semiconductors","Upstream",59,1,0,0,NA,55,0.932203389830508,1,0,0
"Solar","Upstream",59,1,0,0,NA,55,0.932203389830508,1,0,0
"Wind","Upstream",59,1,0,0,NA,55,0.932203389830508,1,0,0
