"tech","supply_chain","n_countries","rho_legacy_none","n_rank_moved_gt3_none","share_rank_moved_none","rho_legacy_filter","n_rank_moved_gt3_filter","share_rank_moved_filter","rho_legacy_downweight","n_rank_moved_gt3_downweight","share_rank_moved_downweight"
"Nuclear","Midstream",69,0.994081110705152,1,0.0144927536231884,0.994081110705152,1,0.0144927536231884,0.994081110705152,1,0.0144927536231884
"Oil","Midstream",74,0.996978896704924,2,0.027027027027027,0.996978896704924,2,0.027027027027027,0.996978896704924,2,0.027027027027027
"Coal","Upstream",63,0.997311827956989,2,0.0317460317460317,0.997311827956989,2,0.0317460317460317,0.997311827956989,2,0.0317460317460317
"Electric Vehicles","Midstream",76,0.997375256322625,3,0.0394736842105263,0.997375256322625,3,0.0394736842105263,0.997375256322625,3,0.0394736842105263
"Oil","Upstream",72,0.997684738568397,3,0.0416666666666667,0.997684738568397,3,0.0416666666666667,0.997684738568397,3,0.0416666666666667
"Electric Grid","Midstream",75,0.997866287339972,2,0.0266666666666667,0.997866287339972,2,0.0266666666666667,0.997866287339972,2,0.0266666666666667
"Semiconductors","Midstream",71,0.998524480214621,1,0.0140845070422535,0.998524480214621,1,0.0140845070422535,0.998524480214621,1,0.0140845070422535
"Solar","Midstream",76,0.998687628161312,1,0.0131578947368421,0.998687628161312,1,0.0131578947368421,0.998687628161312,1,0.0131578947368421
"Batteries","Midstream",74,0.998696778970751,1,0.0135135135135135,0.998696778970751,1,0.0135135135135135,0.998696778970751,1,0.0135135135135135
"Gas","Upstream",68,0.998740313776387,1,0.0147058823529412,0.998740313776387,1,0.0147058823529412,0.998740313776387,1,0.0147058823529412
"Cross-cutting","Cross-cutting",59,0.998771355019892,0,0,NA,55,0.932203389830508,1,0,0
"Electric Grid","Upstream",67,0.998922499800463,0,0,0.998922499800463,0,0,0.998922499800463,0,0
"Wind","Midstream",75,0.998975817923186,1,0.0133333333333333,0.998975817923186,1,0.0133333333333333,0.998975817923186,1,0.0133333333333333
"Gas","Midstream",74,0.999052202887819,0,0,0.999052202887819,0,0,0.999052202887819,0,0
"Coal","Midstream",69,0.999525027402265,0,0,0.999525027402265,0,0,0.999525027402265,0,0
