"tech","supply_chain","n_countries","rho_geo_nogeo","n_rank_moved_gt3","max_rank_move","level_ratio_median"
"Oil","Upstream",72,0.924046562479902,37,24,2.38973646136969
"Gas","Upstream",71,0.97112676056338,23,18,2.33998323257383
"Batteries","Upstream",59,0.976961896647505,3,20,2.21791687125695
"Electric Vehicles","Upstream",59,0.976961896647505,3,20,2.21791687125695
"Nuclear","Upstream",59,0.976961896647505,3,20,2.21791687125695
"Semiconductors","Upstream",59,0.976961896647505,3,20,2.21791687125695
"Solar","Upstream",59,0.976961896647505,3,20,2.21791687125695
"Wind","Upstream",59,0.976961896647505,3,20,2.21791687125695
"Semiconductors","Midstream",73,0.977138097001111,15,22,2.43449828640328
"Electric Vehicles","Midstream",76,0.9780997949419,22,21,2.52124881820226
"Wind","Midstream",75,0.981450924608819,13,20,2.44187978807864
"Coal","Upstream",69,0.985531603945926,13,15,2.33275411642894
"Electric Grid","Midstream",76,0.986958304853042,10,19,2.54280935588428
"Solar","Midstream",76,0.988653451811346,7,18,2.41663138370282
"Nuclear","Midstream",72,0.990706797864815,6,18,2.33998323257383
"Batteries","Midstream",74,0.991677156608663,7,14,2.44839472301573
"Oil","Midstream",74,0.993217326915957,8,13,2.39980952153961
"Gas","Midstream",74,0.99517215845983,4,12,2.4672475230129
"Coal","Midstream",72,0.99546594636311,5,8,2.38442318441548
"Electric Grid","Upstream",73,0.996729555867516,4,6,2.28353206293114
