"group","term","hits","hit_rate","flagged","dict"
"Wind","\bwind\b",5463,0.0988402598107507,TRUE,"tech"
"Midstream","\bmanufactur\w*",2414,0.043675706971106,FALSE,"supply_chain"
"Downstream","\bconstruction\b",851,0.0153968627309077,FALSE,"supply_chain"
"Oil","\boil\b",679,0.0122849233775398,FALSE,"tech"
"Gas","\bgas\b",569,0.010294729605037,FALSE,"tech"
"Solar","\bsolar\b",550,0.0099509688625138,FALSE,"tech"
"Midstream","\bplant\b",532,0.00962530079064971,FALSE,"supply_chain"
"Batteries","\bbattery\b",497,0.00899205731758065,FALSE,"tech"
"Oil","\bpipeline\b",465,0.00841309185648894,FALSE,"tech"
"Oil","\bpetroleum\b",424,0.00767129235946518,FALSE,"tech"
"Semiconductors","\bsemiconductor\b",414,0.00749036565287402,FALSE,"tech"
"Upstream","\bmining\b",375,0.0067847514971685,FALSE,"supply_chain"
"Solar","\bsilicon\b",351,0.00635052740134971,FALSE,"tech"
"Midstream","\bcomponent\b",304,0.00550017188037126,FALSE,"supply_chain"
"Semiconductors","\bchips\b",276,0.00499357710191601,FALSE,"tech"
"Green Hydrogen","\bhydrogen\b",269,0.0048669284073022,FALSE,"tech"
"Electric Vehicles","\belectric vehicles\b",255,0.00461363101807458,FALSE,"tech"
"Semiconductors","\bai\b",242,0.00437842629950607,FALSE,"tech"
"Midstream","\bcells?\b",235,0.00425177760489226,FALSE,"supply_chain"
"Electric Grid","\bcopper\b",214,0.00387183152105082,FALSE,"tech"
"Solar","\bphotovoltaic\b",202,0.00365471947314143,FALSE,"tech"
"Semiconductors","\baccelerator\b",193,0.00349188543720939,FALSE,"tech"
"Coal","\bcoal\b",191,0.00345570009589115,FALSE,"tech"
"Batteries","\bbatteries\b",186,0.00336523674259557,FALSE,"tech"
"Oil","\bcrude\b",186,0.00336523674259557,FALSE,"tech"
"Gas","\bnatural gas\b",153,0.00276817861084475,FALSE,"tech"
"Downstream","\bdeploy\w*",144,0.0026053445749127,FALSE,"supply_chain"
"Upstream","\brefin\w*",135,0.00244251053898066,FALSE,"supply_chain"
"Electric Grid","\bdistribution\b",121,0.00218921314975304,FALSE,"tech"
"Semiconductors","\bwafers\b",118,0.00213493513777569,FALSE,"tech"
"Electric Grid","\bgrid\b",112,0.00202637911382099,FALSE,"tech"
"Downstream","\brebate\b",105,0.00189973041920718,FALSE,"supply_chain"
"Upstream","\braw material\b",103,0.00186354507788895,FALSE,"supply_chain"
"Electric Vehicles","\bev\b",95,0.00171880371261602,FALSE,"tech"
"Wind","\boffshore wind\b",93,0.00168261837129779,FALSE,"tech"
"Semiconductors","\bartificial intelligence\b",89,0.00161024768866132,FALSE,"tech"
"Solar","\bpv\b",84,0.00151978433536574,FALSE,"tech"
"Nuclear","\bnuclear\b",80,0.00144741365272928,FALSE,"tech"
"Wind","\brare earth\b",79,0.00142932098207016,FALSE,"tech"
"Magnets","\brare earth\b",79,0.00142932098207016,FALSE,"tech"
"Upstream","\brare earth\b",79,0.00142932098207016,FALSE,"supply_chain"
"Semiconductors","\bsemiconductors\b",74,0.00133885762877458,FALSE,"tech"
