"year","n_active","n_trade_covered","share_trade_covered","n_subsidy","share_subsidy","share_either","share_neither"
2008,14,0,0,6,0.428571428571429,0.428571428571429,0.571428571428571
2009,1818,1025,0.563806380638064,296,0.162816281628163,0.721672167216722,0.278327832783278
2010,3617,1944,0.5374619850705,717,0.198230577826928,0.73016311860658,0.26983688139342
2011,5039,2648,0.525501091486406,1049,0.208176225441556,0.727128398491764,0.272871601508236
2012,6645,3432,0.51647855530474,1380,0.207674943566591,0.718434913468774,0.281565086531226
2013,8381,4342,0.51807660183749,1765,0.21059539434435,0.722825438491827,0.277174561508173
2014,10259,5383,0.524710010722293,2204,0.214835753972122,0.729700750560483,0.270299249439516
2015,11981,6233,0.520240380602621,2814,0.234871880477423,0.742008179617728,0.257991820382272
2016,13736,6968,0.507280139778684,3489,0.254004076878276,0.741555037856727,0.258444962143273
2017,15792,7995,0.506268996960486,4272,0.270516717325228,0.752089665653495,0.247910334346505
2018,17397,8576,0.492958556072886,5000,0.287405874576076,0.754267977237455,0.245732022762545
2019,18599,8874,0.477122425936878,5823,0.313081348459595,0.763481907629442,0.236518092370558
2020,21182,10051,0.474506656595222,6967,0.328911339816826,0.775611368142763,0.224388631857237
2021,23370,10774,0.461018399657681,8140,0.348309798887463,0.776508344030809,0.223491655969191
2022,27520,12498,0.454142441860465,9212,0.334738372093023,0.75625,0.24375
2023,30888,13842,0.448135198135198,10632,0.344211344211344,0.750032375032375,0.249967624967625
2024,34039,15120,0.444196362995388,11527,0.338640970651312,0.740944211052029,0.259055788947971
2025,38572,17144,0.444467489370528,12148,0.31494348231878,0.717826402571814,0.282173597428186
2026,40082,17580,0.438600868220149,12438,0.310313856593982,0.706850955541141,0.293149044458859
