"category","variable","value","source","explanation"
"Energy Access","Energy consumption per capita growth",1,"EI Statistical Review of World Energy (2024)","Normalized index of per-capita consumption growth"
"Energy Access","Energy consumption per capita growth",1,"EI Statistical Review of World Energy (2024)","Normalized index of per-capita consumption growth"
"Energy Access","Energy consumption per capita",0.748686498799588,"EI Statistical Review of World Energy (2024)","Normalized index of per-capita Wind consumption"
"Energy Access","Energy consumption per capita",0.748686498799588,"EI Statistical Review of World Energy (2024)","Normalized index of per-capita Wind consumption"
"Energy Access","Energy consumption per capita",0.736068839409471,"EI Statistical Review of World Energy (2024)","Normalized index of per-capita Oil consumption"
"Energy Access","Energy consumption per capita",0.736068839409471,"EI Statistical Review of World Energy (2024)","Normalized index of per-capita Solar consumption"
"Energy Access","Energy consumption per capita",0.736068839409471,"EI Statistical Review of World Energy (2024)","Normalized index of per-capita Oil consumption"
"Energy Access","Energy consumption per capita",0.736068839409471,"EI Statistical Review of World Energy (2024)","Normalized index of per-capita Solar consumption"
"Energy Access","Energy consumption per capita",0.724273710624959,"EI Statistical Review of World Energy (2024)","Normalized index of per-capita Gas consumption"
"Energy Access","Energy consumption per capita",0.724273710624959,"EI Statistical Review of World Energy (2024)","Normalized index of per-capita Nuclear consumption"
"Energy Access","Energy consumption per capita",0.724273710624959,"EI Statistical Review of World Energy (2024)","Normalized index of per-capita Gas consumption"
"Energy Access","Energy consumption per capita",0.724273710624959,"EI Statistical Review of World Energy (2024)","Normalized index of per-capita Nuclear consumption"
"Energy Access","Energy consumption per capita",0.692610622042385,"EI Statistical Review of World Energy (2024)","Normalized index of per-capita Coal consumption"
"Energy Access","Energy consumption per capita",0.692610622042385,"EI Statistical Review of World Energy (2024)","Normalized index of per-capita Coal consumption"
"Energy Access","Energy consumption per capita growth",0.666666666666667,"EI Statistical Review of World Energy (2024)","Normalized index of per-capita consumption growth"
"Energy Access","Energy consumption per capita growth",0.666666666666667,"EI Statistical Review of World Energy (2024)","Normalized index of per-capita consumption growth"
"Energy Access","Energy consumption per capita growth",0.550510257216822,"EI Statistical Review of World Energy (2024)","Normalized index of per-capita consumption growth"
"Energy Access","Energy consumption per capita growth",0.550510257216822,"EI Statistical Review of World Energy (2024)","Normalized index of per-capita consumption growth"
"Energy Access","Energy consumption per capita growth",0.449489742783178,"EI Statistical Review of World Energy (2024)","Normalized index of per-capita consumption growth"
"Energy Access","Energy consumption per capita growth",0.449489742783178,"EI Statistical Review of World Energy (2024)","Normalized index of per-capita consumption growth"
